title,institution,place,description,source_number,source_url,image_url,lat,lon,license,author,date
"Vågsalmenningen, Vågsallmenning, Børsen (Vågsallmenning 1, Bergen)",Riksantikvaren/Nasjonalbiblioteket - Mittet,Bergen,0334. Enerett Mittet & Co.,T248_02_0396.jpg,URN:NBN:no-RAKV_arkiv_AAFD4A041D8643D3 8E8775BC497BB6FE,http://www.knreise.no/img/riksantikvaren/T248_02_0396.jpg,,,http://creativecommons.org/licenses/by/4.0/,Hermann Christian Neupert,Ukjent dato
Welhavens gate (Bergen),Riksantikvaren,Bergen,"Møllenpris, sett mot nord",T248_02_0397.jpg,URN:NBN:no-RAKV_arkiv_56D2662707DC44B2 843E0657068C1CFB,http://www.knreise.no/img/riksantikvaren/T248_02_0397.jpg,,,http://creativecommons.org/licenses/by/4.0/,Ukjent,Ukjent dato
"Bergen offentlige bibliotek (Strømgaten 6, Bergen)",Riksantikvaren/Nasjonalbiblioteket - Mittet,Bergen,"Bergen, Biblioteket. Nr.01. Eneret Mittet & Co.",T248_02_0398.jpg,URN:NBN:no-RAKV_arkiv_9A127731C0784D1A 871E538B76674112,http://www.knreise.no/img/riksantikvaren/T248_02_0398.jpg,,,http://creativecommons.org/licenses/by/4.0/,Ukjent,Ukjent dato
"Biblioteket (Strømgaten 6, Bergen)",Riksantikvaren/Nasjonalbiblioteket - Mittet,Bergen,359. Bibliotheket og Jernbanestationen. Eneberettiget C.A. Erichsen,T248_02_0399.jpg,URN:NBN:no-RAKV_arkiv_C872930A553843E4 AD7D4105F258652A,http://www.knreise.no/img/riksantikvaren/T248_02_0399.jpg,,,http://creativecommons.org/licenses/by/4.0/,C. A. Erichsen,Ukjent dato
Bergen jernbanestasjon (Bergen),Riksantikvaren/Nasjonalbiblioteket - Mittet,Bergen,"316. Jernbanestationen. Eneret Mittet & Co., Kristiania",T248_02_0400.jpg,URN:NBN:no-RAKV_arkiv_5E42BE3842AE429A 80A701009325D3B3,http://www.knreise.no/img/riksantikvaren/T248_02_0400.jpg,,,http://creativecommons.org/licenses/by/4.0/,Ukjent,Ukjent dato
"Den tekniske skole, Kunsthåndverkskolen (Strømgaten 1, Bergen)",Riksantikvaren,Bergen,Beskrivelse mangler,T248_02_0401.jpg,URN:NBN:no-RAKV_arkiv_13CD282D9BAE47D0 B609D2A1473ED908,http://www.knreise.no/img/riksantikvaren/T248_02_0401.jpg,,,http://creativecommons.org/licenses/by/4.0/,Ukjent,Ukjent dato
Strandgaten (Bergen),Riksantikvaren/Nasjonalbiblioteket - Mittet,Bergen,Beskrivelse mangler,T248_02_0402.jpg,URN:NBN:no-RAKV_arkiv_A68A5B2342ED4048 8277FA5EBD5ECE1B,http://www.knreise.no/img/riksantikvaren/T248_02_0402.jpg,,,http://creativecommons.org/licenses/by/4.0/,Ukjent,Ukjent dato
Strandgaten 156-158-160-162 (Bergen),Riksantikvaren,Bergen,Beskrivelse mangler,T248_02_0403.jpg,URN:NBN:no-RAKV_arkiv_2912AD63D42F4F6F 92A293B44D03E39A,http://www.knreise.no/img/riksantikvaren/T248_02_0403.jpg,,,http://creativecommons.org/licenses/by/4.0/,Ukjent,Ukjent dato
Strandgaten 156-158-160-162 (Bergen),Riksantikvaren,Bergen,Beskrivelse mangler,T248_02_0404.jpg,URN:NBN:no-RAKV_arkiv_371EECE676BB4006 828019F978233593,http://www.knreise.no/img/riksantikvaren/T248_02_0404.jpg,,,http://creativecommons.org/licenses/by/4.0/,Ukjent,Ukjent dato
Strandgaten (Bergen),Riksantikvaren/Nasjonalbiblioteket - Mittet,Bergen,Beskrivelse mangler,T248_02_0405.jpg,URN:NBN:no-RAKV_arkiv_3C4326A9B18B4B40 BB2E76ABBF55801E,http://www.knreise.no/img/riksantikvaren/T248_02_0405.jpg,,,http://creativecommons.org/licenses/by/4.0/,Ukjent,Ukjent dato
